Countries Code,Countries,Age (17 categories) Code,Age (17 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Economic activity status (10 categories) Code,Economic activity status (10 categories),Observation
E92000001,England,2,Aged 16 to 17 years,1,Female,3,Mixed or Multiple ethnic groups,1,Economically active (excluding full-time students): In employment,488
E92000001,England,2,Aged 16 to 17 years,1,Female,3,Mixed or Multiple ethnic groups,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,332
E92000001,England,2,Aged 16 to 17 years,1,Female,3,Mixed or Multiple ethnic groups,3,Economically active and a full-time student: In employment,2850
E92000001,England,2,Aged 16 to 17 years,1,Female,3,Mixed or Multiple ethnic groups,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2691
E92000001,England,2,Aged 16 to 17 years,1,Female,3,Mixed or Multiple ethnic groups,5,Economically inactive: Retired,1
E92000001,England,2,Aged 16 to 17 years,1,Female,3,Mixed or Multiple ethnic groups,6,Economically inactive: Student,26982
E92000001,England,2,Aged 16 to 17 years,1,Female,3,Mixed or Multiple ethnic groups,7,Economically inactive: Looking after home or family,106
E92000001,England,2,Aged 16 to 17 years,1,Female,3,Mixed or Multiple ethnic groups,8,Economically inactive: Long-term sick or disabled,73
E92000001,England,2,Aged 16 to 17 years,1,Female,3,Mixed or Multiple ethnic groups,9,Economically inactive: Other,392
E92000001,England,2,Aged 16 to 17 years,1,Female,4,White,-8,Does not apply,0
E92000001,England,2,Aged 16 to 17 years,1,Female,4,White,1,Economically active (excluding full-time students): In employment,13532
E92000001,England,2,Aged 16 to 17 years,1,Female,4,White,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4991
E92000001,England,2,Aged 16 to 17 years,1,Female,4,White,3,Economically active and a full-time student: In employment,60083
E92000001,England,2,Aged 16 to 17 years,1,Female,4,White,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,38479
E92000001,England,2,Aged 16 to 17 years,1,Female,4,White,5,Economically inactive: Retired,48
E92000001,England,2,Aged 16 to 17 years,1,Female,4,White,6,Economically inactive: Student,325161
E92000001,England,2,Aged 16 to 17 years,1,Female,4,White,7,Economically inactive: Looking after home or family,1849
E92000001,England,2,Aged 16 to 17 years,1,Female,4,White,8,Economically inactive: Long-term sick or disabled,1120
E92000001,England,2,Aged 16 to 17 years,1,Female,4,White,9,Economically inactive: Other,6044
E92000001,England,2,Aged 16 to 17 years,1,Female,5,Other ethnic group,-8,Does not apply,0
E92000001,England,2,Aged 16 to 17 years,1,Female,5,Other ethnic group,1,Economically active (excluding full-time students): In employment,86
E92000001,England,2,Aged 16 to 17 years,1,Female,5,Other ethnic group,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,55
E92000001,England,2,Aged 16 to 17 years,1,Female,5,Other ethnic group,3,Economically active and a full-time student: In employment,571
E92000001,England,2,Aged 16 to 17 years,1,Female,5,Other ethnic group,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,675
E92000001,England,2,Aged 16 to 17 years,1,Female,5,Other ethnic group,5,Economically inactive: Retired,2
E92000001,England,2,Aged 16 to 17 years,1,Female,5,Other ethnic group,6,Economically inactive: Student,14229
E92000001,England,2,Aged 16 to 17 years,1,Female,5,Other ethnic group,7,Economically inactive: Looking after home or family,91
E92000001,England,2,Aged 16 to 17 years,1,Female,5,Other ethnic group,8,Economically inactive: Long-term sick or disabled,15
E92000001,England,2,Aged 16 to 17 years,1,Female,5,Other ethnic group,9,Economically inactive: Other,209
E92000001,England,2,Aged 16 to 17 years,2,Male,-8,Does not apply,-8,Does not apply,0
E92000001,England,2,Aged 16 to 17 years,2,Male,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E92000001,England,2,Aged 16 to 17 years,2,Male,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,2,Aged 16 to 17 years,2,Male,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E92000001,England,2,Aged 16 to 17 years,2,Male,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,2,Aged 16 to 17 years,2,Male,-8,Does not apply,5,Economically inactive: Retired,0
E92000001,England,2,Aged 16 to 17 years,2,Male,-8,Does not apply,6,Economically inactive: Student,0
E92000001,England,2,Aged 16 to 17 years,2,Male,-8,Does not apply,7,Economically inactive: Looking after home or family,0
E92000001,England,2,Aged 16 to 17 years,2,Male,-8,Does not apply,8,Economically inactive: Long-term sick or disabled,0
E92000001,England,2,Aged 16 to 17 years,2,Male,-8,Does not apply,9,Economically inactive: Other,0
E92000001,England,2,Aged 16 to 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E92000001,England,2,Aged 16 to 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",1,Economically active (excluding full-time students): In employment,528
E92000001,England,2,Aged 16 to 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,404
E92000001,England,2,Aged 16 to 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",3,Economically active and a full-time student: In employment,2933
E92000001,England,2,Aged 16 to 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3122
E92000001,England,2,Aged 16 to 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",5,Economically inactive: Retired,8
E92000001,England,2,Aged 16 to 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",6,Economically inactive: Student,70442
E92000001,England,2,Aged 16 to 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",7,Economically inactive: Looking after home or family,121
E92000001,England,2,Aged 16 to 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",8,Economically inactive: Long-term sick or disabled,57
E92000001,England,2,Aged 16 to 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",9,Economically inactive: Other,843
E92000001,England,2,Aged 16 to 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E92000001,England,2,Aged 16 to 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",1,Economically active (excluding full-time students): In employment,213
E92000001,England,2,Aged 16 to 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,236
E92000001,England,2,Aged 16 to 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",3,Economically active and a full-time student: In employment,965
E92000001,England,2,Aged 16 to 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2438
E92000001,England,2,Aged 16 to 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",5,Economically inactive: Retired,4
E92000001,England,2,Aged 16 to 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",6,Economically inactive: Student,36207
E92000001,England,2,Aged 16 to 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",7,Economically inactive: Looking after home or family,50
E92000001,England,2,Aged 16 to 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",8,Economically inactive: Long-term sick or disabled,35
E92000001,England,2,Aged 16 to 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",9,Economically inactive: Other,588
