Regions Code,Regions,Age (17 categories) Code,Age (17 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Economic activity status (10 categories) Code,Economic activity status (10 categories),Observation
E12000007,London,3,Aged 18 to 19 years,-8,Does not apply,8,Economically inactive: Long-term sick or disabled,0
E12000007,London,3,Aged 18 to 19 years,-8,Does not apply,9,Economically inactive: Other,0
E12000007,London,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E12000007,London,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",1,Economically active (excluding full-time students): In employment,2757
E12000007,London,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1538
E12000007,London,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",3,Economically active and a full-time student: In employment,4668
E12000007,London,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2858
E12000007,London,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",5,Economically inactive: Retired,10
E12000007,London,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",6,Economically inactive: Student,26388
E12000007,London,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",7,Economically inactive: Looking after home or family,416
E12000007,London,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",8,Economically inactive: Long-term sick or disabled,136
E12000007,London,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",9,Economically inactive: Other,1147
E12000007,London,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E12000007,London,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Economically active (excluding full-time students): In employment,2620
E12000007,London,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1950
E12000007,London,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,Economically active and a full-time student: In employment,3353
E12000007,London,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3202
E12000007,London,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,Economically inactive: Retired,5
E12000007,London,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,Economically inactive: Student,20913
E12000007,London,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",7,Economically inactive: Looking after home or family,256
E12000007,London,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",8,Economically inactive: Long-term sick or disabled,176
E12000007,London,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",9,Economically inactive: Other,1444
E12000007,London,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E12000007,London,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,1,Economically active (excluding full-time students): In employment,2076
E12000007,London,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1414
E12000007,London,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,3,Economically active and a full-time student: In employment,1320
E12000007,London,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,910
E12000007,London,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,5,Economically inactive: Retired,5
E12000007,London,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,6,Economically inactive: Student,7317
E12000007,London,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,7,Economically inactive: Looking after home or family,231
E12000007,London,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,8,Economically inactive: Long-term sick or disabled,146
E12000007,London,3,Aged 18 to 19 years,3,Mixed or Multiple ethnic groups,9,Economically inactive: Other,911
E12000007,London,3,Aged 18 to 19 years,4,White,-8,Does not apply,0
E12000007,London,3,Aged 18 to 19 years,4,White,1,Economically active (excluding full-time students): In employment,14457
E12000007,London,3,Aged 18 to 19 years,4,White,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5016
E12000007,London,3,Aged 18 to 19 years,4,White,3,Economically active and a full-time student: In employment,6403
E12000007,London,3,Aged 18 to 19 years,4,White,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3069
E12000007,London,3,Aged 18 to 19 years,4,White,5,Economically inactive: Retired,22
E12000007,London,3,Aged 18 to 19 years,4,White,6,Economically inactive: Student,30765
E12000007,London,3,Aged 18 to 19 years,4,White,7,Economically inactive: Looking after home or family,1096
E12000007,London,3,Aged 18 to 19 years,4,White,8,Economically inactive: Long-term sick or disabled,623
E12000007,London,3,Aged 18 to 19 years,4,White,9,Economically inactive: Other,3664
E12000007,London,3,Aged 18 to 19 years,5,Other ethnic group,-8,Does not apply,0
E12000007,London,3,Aged 18 to 19 years,5,Other ethnic group,1,Economically active (excluding full-time students): In employment,1045
