Lower tier local authorities Code,Lower tier local authorities,Age (17 categories) Code,Age (17 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Economic activity status (10 categories) Code,Economic activity status (10 categories),Observation
E06000016,Leicester,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,7,Economically inactive: Looking after home or family,4
E06000016,Leicester,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,8,Economically inactive: Long-term sick or disabled,5
E06000016,Leicester,2,Aged 16 to 17 years,3,Mixed or Multiple ethnic groups,9,Economically inactive: Other,15
E06000016,Leicester,2,Aged 16 to 17 years,4,White,-8,Does not apply,0
E06000016,Leicester,2,Aged 16 to 17 years,4,White,1,Economically active (excluding full-time students): In employment,110
E06000016,Leicester,2,Aged 16 to 17 years,4,White,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,95
E06000016,Leicester,2,Aged 16 to 17 years,4,White,3,Economically active and a full-time student: In employment,189
E06000016,Leicester,2,Aged 16 to 17 years,4,White,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,189
E06000016,Leicester,2,Aged 16 to 17 years,4,White,5,Economically inactive: Retired,0
E06000016,Leicester,2,Aged 16 to 17 years,4,White,6,Economically inactive: Student,2353
E06000016,Leicester,2,Aged 16 to 17 years,4,White,7,Economically inactive: Looking after home or family,32
E06000016,Leicester,2,Aged 16 to 17 years,4,White,8,Economically inactive: Long-term sick or disabled,7
E06000016,Leicester,2,Aged 16 to 17 years,4,White,9,Economically inactive: Other,111
E06000016,Leicester,2,Aged 16 to 17 years,5,Other ethnic group,-8,Does not apply,0
E06000016,Leicester,2,Aged 16 to 17 years,5,Other ethnic group,1,Economically active (excluding full-time students): In employment,1
E06000016,Leicester,2,Aged 16 to 17 years,5,Other ethnic group,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E06000016,Leicester,2,Aged 16 to 17 years,5,Other ethnic group,3,Economically active and a full-time student: In employment,5
E06000016,Leicester,2,Aged 16 to 17 years,5,Other ethnic group,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,15
E06000016,Leicester,2,Aged 16 to 17 years,5,Other ethnic group,5,Economically inactive: Retired,0
E06000016,Leicester,2,Aged 16 to 17 years,5,Other ethnic group,6,Economically inactive: Student,364
E06000016,Leicester,2,Aged 16 to 17 years,5,Other ethnic group,7,Economically inactive: Looking after home or family,0
E06000016,Leicester,2,Aged 16 to 17 years,5,Other ethnic group,8,Economically inactive: Long-term sick or disabled,0
E06000016,Leicester,2,Aged 16 to 17 years,5,Other ethnic group,9,Economically inactive: Other,7
E06000016,Leicester,3,Aged 18 to 19 years,-8,Does not apply,-8,Does not apply,0
E06000016,Leicester,3,Aged 18 to 19 years,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E06000016,Leicester,3,Aged 18 to 19 years,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000016,Leicester,3,Aged 18 to 19 years,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E06000016,Leicester,3,Aged 18 to 19 years,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000016,Leicester,3,Aged 18 to 19 years,-8,Does not apply,5,Economically inactive: Retired,0
E06000016,Leicester,3,Aged 18 to 19 years,-8,Does not apply,6,Economically inactive: Student,0
E06000016,Leicester,3,Aged 18 to 19 years,-8,Does not apply,7,Economically inactive: Looking after home or family,0
E06000016,Leicester,3,Aged 18 to 19 years,-8,Does not apply,8,Economically inactive: Long-term sick or disabled,0
E06000016,Leicester,3,Aged 18 to 19 years,-8,Does not apply,9,Economically inactive: Other,0
E06000016,Leicester,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E06000016,Leicester,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",1,Economically active (excluding full-time students): In employment,611
E06000016,Leicester,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,221
